"cntry","w4q47","w4q50","w4q52","gndr","agea","eduyrs","eisced","hinctnta","region"
"AT",1,3,3,1,73,11,3,10,"AT32"
"AT",2,2,2,2,41,13,6,NA,"AT22"
"AT",1,3,3,1,35,14,5,3,"AT22"
"AT",2,3,4,1,55,12,3,NA,"AT34"
"AT",1,3,3,2,65,12,2,7,"AT12"
"AT",3,2,2,2,27,21,6,NA,"AT31"
"AT",2,2,2,2,35,20,7,6,"AT31"
"AT",3,2,3,2,20,14,4,8,"AT12"
"AT",1,3,2,1,68,25,7,8,"AT12"
"AT",1,3,3,1,51,14,5,7,"AT21"
"AT",2,2,3,1,66,13,3,5,"AT13"
"AT",1,4,4,2,56,16,4,7,"AT13"
"AT",1,2,1,2,51,13,5,8,"AT12"
"AT",1,4,4,1,67,11,3,7,"AT22"
"AT",3,2,1,1,48,25,55,5,"AT12"
"AT",2,3,4,2,39,12,3,5,"AT12"
"AT",2,2,3,1,54,16,7,8,"AT34"
"AT",2,3,2,2,47,15,5,6,"AT13"
"AT",3,2,1,2,45,18,3,10,"AT21"
"AT",2,3,2,1,81,9,3,5,"AT13"
"AT",4,3,3,1,27,10,3,7,"AT22"
"AT",3,3,3,2,41,22,7,8,"AT11"
"AT",1,3,3,1,53,12,3,7,"AT12"
"AT",4,2,2,2,28,12,3,3,"AT12"
"AT",2,2,2,2,58,14,5,3,"AT33"
"AT",2,2,2,1,19,13,4,7,"AT12"
"AT",1,3,3,1,44,15,4,10,"AT12"
"AT",3,1,1,1,34,18,7,9,"AT33"
"AT",3,2,2,1,30,17,7,NA,"AT32"
"AT",1,3,3,2,47,15,5,5,"AT22"
"AT",2,2,2,2,29,16,6,NA,"AT11"
"AT",1,3,3,1,40,11,3,9,"AT13"
"AT",3,2,2,2,31,15,5,6,"AT11"
"AT",1,4,4,1,56,18,7,10,"AT31"
"AT",3,3,3,2,60,12,3,1,"AT12"
"AT",3,2,2,2,29,15,4,9,"AT12"
"AT",1,4,4,2,59,13,5,NA,"AT12"
"AT",2,2,2,2,61,14,5,3,"AT22"
"AT",1,3,2,1,54,14,3,9,"AT12"
"AT",2,2,1,1,18,12,4,3,"AT21"
"AT",1,3,4,1,65,12,3,9,"AT31"
"AT",1,3,4,2,52,16,5,9,"AT12"
"AT",3,2,1,2,55,13,6,8,"AT13"
"AT",3,2,3,2,29,11,3,4,"AT33"
"AT",1,3,4,2,32,13,3,8,"AT32"
"AT",2,3,1,1,66,18,7,8,"AT13"
"AT",1,3,3,1,54,17,7,10,"AT34"
"AT",1,4,3,2,79,8,2,6,"AT31"
"AT",1,3,3,1,71,12,3,7,"AT31"
"AT",2,2,3,1,32,22,6,5,"AT13"
"AT",3,2,2,2,18,12,4,5,"AT31"
"AT",1,4,4,2,43,12,3,4,"AT33"
"AT",1,3,3,1,48,15,5,9,"AT32"
"AT",1,2,3,2,40,12,4,5,"AT34"
"AT",2,3,3,2,66,14,4,4,"AT22"
"AT",1,4,4,1,46,14,3,6,"AT13"
"AT",2,3,3,1,75,20,7,4,"AT22"
"AT",2,3,3,1,21,14,5,9,"AT12"
"AT",2,2,2,1,53,20,7,8,"AT32"
"AT",2,3,2,1,42,18,7,10,"AT12"
"AT",2,3,3,1,73,13,5,4,"AT13"
"AT",2,3,3,2,40,18,7,7,"AT12"
"AT",2,3,3,2,39,17,5,7,"AT13"
"AT",4,1,1,2,54,NA,3,NA,"AT12"
"AT",2,2,NA,1,57,10,5,6,"AT13"
"AT",1,4,4,2,66,19,7,9,"AT21"
"AT",1,2,3,1,64,10,5,3,"AT32"
"AT",1,3,4,1,60,11,3,4,"AT32"
"AT",3,2,2,1,53,12,5,5,"AT22"
"AT",4,1,1,1,56,13,3,2,"AT13"
"AT",2,3,3,1,43,18,7,7,"AT34"
"AT",1,3,2,1,41,15,5,8,"AT12"
"AT",1,3,3,1,56,14,5,4,"AT34"
"AT",1,3,4,1,54,13,5,9,"AT22"
"AT",1,3,3,2,58,13,5,8,"AT13"
"AT",1,2,3,2,54,15,5,10,"AT12"
"AT",1,2,2,2,24,13,5,2,"AT31"
"AT",2,4,4,2,55,14,4,6,"AT22"
"AT",2,3,2,1,53,17,5,1,"AT11"
"AT",2,2,2,2,35,12,7,9,"AT12"
"AT",1,3,3,2,25,19,6,5,"AT13"
"AT",3,2,2,1,74,11,5,3,"AT33"
"AT",1,4,3,1,58,13,5,5,"AT33"
"AT",2,4,4,1,62,11,3,9,"AT13"
"AT",1,4,4,2,23,17,7,4,"AT22"
"AT",1,3,4,2,67,17,7,10,"AT31"
"AT",2,2,2,1,53,17,7,10,"AT33"
"AT",1,4,4,2,34,19,7,10,"AT13"
"AT",2,4,3,2,33,18,7,4,"AT31"
"AT",1,3,3,1,62,13,5,6,"AT13"
"AT",1,3,2,1,38,17,5,7,"AT31"
"AT",1,3,3,1,58,14,5,6,"AT12"
"AT",1,3,3,1,50,14,5,8,"AT12"
"AT",2,3,3,1,47,20,7,10,"AT32"
"AT",1,3,3,1,64,13,3,6,"AT32"
"AT",1,3,4,1,64,NA,7,NA,"AT12"
"AT",1,3,3,2,52,19,7,5,"AT13"
"AT",3,3,3,2,20,13,4,2,"AT33"
"AT",2,3,3,1,37,20,6,7,"AT13"
"AT",2,3,4,1,24,13,5,6,"AT31"
"AT",2,2,2,1,58,15,5,8,"AT13"
"AT",1,3,3,2,70,10,2,7,"AT12"
"AT",2,2,1,1,88,13,5,6,"AT12"
"AT",2,2,3,2,61,17,4,1,"AT13"
"AT",2,3,3,2,33,18,7,9,"AT22"
"AT",1,3,2,2,41,23,7,9,"AT12"
"AT",1,3,3,NA,22,15,5,8,"AT12"
"AT",2,4,4,1,49,13,4,9,"AT13"
"AT",1,3,2,2,39,12,6,9,"AT31"
"AT",2,2,3,1,78,11,3,8,"AT31"
"AT",3,1,2,2,34,26,6,1,"AT13"
"AT",2,2,3,2,29,12,3,5,"AT31"
"AT",1,2,3,2,32,23,6,9,"AT13"
"AT",2,2,2,2,43,13,5,6,"AT31"
"AT",2,2,3,1,46,12,3,3,"AT13"
"AT",1,2,3,2,67,13,4,5,"AT13"
"AT",3,3,3,2,34,11,3,10,"AT22"
